Name,Super,Abstract,Persistent,Final,Deprecated,Hidden,SqlTable,System,Ensemble
%BI.Scorecard,,TRUE,,,,,,,
%BI.SessionObj,%CSP.SessionEvents,,,,,,,,
%BI.SchedulerTask,%Library.SerialObject,,,,,,,,
%BI.SiteConfig,%Library.RegisteredObject,,,,,,,,
%BI.Shortcut,%Library.Persistent,,TRUE,,,,%BI.Shortcut,,
%BI.SpeedTrakMap,%Library.Persistent,,TRUE,,,,%BI.SpeedTrakMap,,
%BI.SubCategory,%Library.Persistent,,TRUE,,,,%BI.SubCategory,,
%BI.StoredProc,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.StoredProc,,
%BI.SubjectTable,%Library.Persistent,,TRUE,,,,%BI.SubjectTable,,
%BI.Sync,,TRUE,,,,,,,
%BI.SubDuration,%BI.EdmundPage,,TRUE,,,,%BI.SubDuration,,
%BI.SystemVariable,,TRUE,,,,,,,
%BI.SysLanguage,%Library.Persistent,,TRUE,,,,%BI.SysLanguage,,
%BI.TCWFHeader,%Library.Persistent,,TRUE,,,,%BI.TCWFHeader,,
%BI.TCWFStation,%Library.Persistent,,TRUE,,,,%BI.TCWFStation,,
%BI.TCWFTempHeader,%Library.Persistent,,TRUE,,,,%BI.TCWFTempHeader,,
%BI.TEST,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.TEST,,
%BI.TaskMgmt,,TRUE,,,,,,,
%BI.TCWFTempStation,%Library.Persistent,,TRUE,,,,%BI.TCWFTempStation,,
%BI.TemplateObject,%Library.SerialObject,,,,,,,,
%BI.TestExcel,,TRUE,,,,,,,
%BI.TestSVG,%CSP.Page,,,,,,,,
%BI.Template,%Library.Persistent,,TRUE,,,,%BI.Template,,
%BI.TimeSeries,,TRUE,,,,,,,
%BI.TextList,%Library.Persistent,,TRUE,,,,%BI.TextList,,
%BI.TransBitMap,%Library.SerialObject,,,,,,,,
%BI.Trace,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.Trace,,
%BI.TransGroupTable,%Library.Persistent,,TRUE,,,,%BI.TransGroupTable,,
%BI.TransLang2,%Library.Persistent,,TRUE,,,,%BI.TransLang2,,
%BI.TransTable,%Library.Persistent,,TRUE,,,,%BI.TransTable,,
%BI.Trees,,TRUE,,,,,,,
%BI.Transformation,%Library.Persistent,,TRUE,,,,%BI.Transformation,,
%BI.UploadF,%Library.Persistent,,TRUE,,,,%BI.UploadF,,
%BI.UserDashBoard,%Library.Persistent,,TRUE,,,,%BI.UserDashBoard,,
%BI.UserObjectListWeb,,TRUE,,,,,,,
%BI.UserObjList,%Library.Persistent,,TRUE,,,,%BI.UserObjList,,
%BI.UserRole,%Library.Persistent,,TRUE,,,,%BI.UserRole,,
%BI.UserTrail,%Library.Persistent~%BI.Adaptor,,TRUE,,,,%BI.UserTrail,,
%BI.Utils,%Library.RegisteredObject,,,,,,,,
%BI.ValueRange,,TRUE,,,,,,,
%BI.VanDiagSetup,,TRUE,,,,,,,
%BI.VennDiagram,%Library.Persistent~%XML.Adaptor,,TRUE,,,,%BI.VennDiagram,,
%BI.VennQry,%Library.SerialObject,,,,,,,,
%BI.Users,%Library.Persistent,,TRUE,,,,%BI.Users,,
%BI.VennSVG,%CSP.Page,,,,,,,,
%BI.View,%Library.Persistent,,TRUE,,,,%BI.View,,
%BI.WPivRow,%Library.SerialObject,,,,,,,,
%BI.WComputation,%Library.Persistent,,TRUE,,,,%BI.WComputation,,
%BI.WebADTM,,TRUE,,,,,,,
%BI.WebAccessLog,,TRUE,,,,,,,
%BI.WebAddressBook,,TRUE,,,,,,,
%BI.WebAnalyzer,,TRUE,,,,,,,
%BI.WebAnalyzer2,,TRUE,,,,,,,
%BI.WebAnalyzerSetup,,TRUE,,,,,,,
%BI.WebBlog,,TRUE,,,,,,,
%BI.WebCMeditor,,TRUE,,,,,,,
%BI.WebCdnEditor,,TRUE,,,,,,,
%BI.WebChartList,%CSP.Page,,,,,,,,
%BI.WebClsCom,,TRUE,,,,,,,
%BI.WebCodeTableEnc,,TRUE,,,,,,,
%BI.WebColorScheme,,TRUE,,,,,,,
%BI.WebComBank,,TRUE,,,,,,,
%BI.WebCompSetup,,TRUE,,,,,,,
%BI.WebComponentKPI,,TRUE,,,,,,,
%BI.WebComponentTree,,TRUE,,,,,,,
%BI.WebContactFunc,,TRUE,,,,,,,
%BI.WPivotTable,%Library.Persistent,,TRUE,,,,%BI.WPivotTable,,
%BI.WebCtxtMenu,%CSP.Page,,,,,,,,
%BI.WebCurrency,,TRUE,,,,,,,
%BI.WebDLimitAcc,,TRUE,,,,,,,
%BI.WebDList,,TRUE,,,,,,,
%BI.WebDashboard,,TRUE,,,,,,,
%BI.WebDashboardE,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebDashboardLibCom,,TRUE,,,,,,,
%BI.WebDashboardWiz,,TRUE,,,,,,,
%BI.WebDataCapture,,TRUE,,,,,,,
%BI.WebDimML,,TRUE,,,,,,,
%BI.WebDocBrwsr,,TRUE,,,,,,,
%BI.WebDtAnalysis,,TRUE,,,,,,,
%BI.WebContacts,%Library.Persistent,,TRUE,,,,%BI.WebContacts,,
%BI.WebETL,,TRUE,,,,,,,
%BI.WebEmail,,TRUE,,,,,,,
%BI.WebExcelTemplate,,TRUE,,,,,,,
%BI.WebFile,,TRUE,,,,,,,
%BI.WebFold,,TRUE,,,,,,,
%BI.WebGrid,,TRUE,,,,,,,
%BI.WebEditQueryCom,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebHelp,,TRUE,,,,,,,
%BI.WebKPIClass,,TRUE,,,,,,,
%BI.WebKPIEx,,TRUE,,,,,,,
%BI.WebKnowledge,,TRUE,,,,,,,
%BI.WebLesenReg,,TRUE,,,,,,,
%BI.WebList,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebListbackup,,TRUE,,,,,,,
%BI.WebLnkRpt,,TRUE,,,,,,,
%BI.WebMain,,TRUE,,,,,,,
%BI.WebMain2,,TRUE,,,,,,,
%BI.WebMainTable,,TRUE,,,,,,,
%BI.WebManEnt,,TRUE,,,,,,,
%BI.WebGridFS,%Library.Persistent,,TRUE,,,,%BI.WebGridFS,,
%BI.WebMapTable,,TRUE,,,,,,,
%BI.WebMedList,,TRUE,,,,,,,
%BI.WebMessagingExt,,TRUE,,,,,,,
%BI.WebMessaging,,TRUE,,,,,,,
%BI.WebMultiSites,,TRUE,,,,,,,
%BI.WebOCR,,TRUE,,,,,,,
%BI.WebPerfMet,,TRUE,,,,,,,
%BI.WebMetricsBuild,,TRUE,,,,,,,
%BI.WebPrinter,,TRUE,,,,,,,
%BI.WebPivTable,,TRUE,,,,,,,
%BI.WebPrn,,TRUE,,,,,,,
%BI.WebQuery,,TRUE,,,,,,,
%BI.WebQueryVariable,,TRUE,,,,,,,
%BI.WebReporter,,TRUE,,,,,,,
%BI.WebRoleCheck,,TRUE,,,,,,,
%BI.WebReporter2,%CSP.Page,,,,,,,,
%BI.WebSCActions,,TRUE,,,,,,,
%BI.WebRoleMtns,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebSCMod,%CSP.Page~%BI.CSPsuper,,,,,,,,
%BI.WebSCM,%Library.Persistent,,TRUE,,,,%BI.WebSCM,,
%BI.WebSMS,,TRUE,,,,,,,
%BI.WebSQLComGen,,TRUE,,,,,,,
%BI.WebSVG,,TRUE,,,,,,,
%BI.WebSVGTest,,TRUE,,,,,,,
%BI.WebScheduler,,TRUE,,,,,,,
%BI.WebScheduler2,,TRUE,,,,,,,
%BI.WebSchema,,TRUE,,,,,,,
%BI.WebSCModule,%Library.Persistent,,TRUE,,,,%BI.WebSCModule,,
